PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s)
39936153,Case report: Advanced age at transplantation and pre-emptive treatment with dupilumab in DOCK8 deficiency.,2024,,
39935938,Immune Checkpoint Inhibitor-Induced Hepatitis: A Case Report of Challenging Management.,2025,,
39935933,"Chest Radiography Scores for Predicting the Severity of Respiratory Status in Newborns Weighing More Than 1,500 g.",2025,,
39935929,Isolated Pulmonary Valve Infective Endocarditis With Persistent Staphylococcus aureus Bacteremia and Rapid Clearance With Ertapenem Plus Cefazolin.,2025,,
39935852,Asymptotic analysis of mathematical model describing a new treatment of breast cancer using AZD9496 and palbociclib.,2024,,
39935849,Updated Bayesian network meta-analysis on the efficacy and safety of PD-1 versus PD-L1 inhibitors in first-line treatment with chemotherapy for extensive-stage small-cell lung cancer.,2024,,
39935847,Case report: Clonal evolution analysis of a rare case of meningioma lung metastases identifies actionable alterations in matched longitudinal tumour samples.,2024,,
39935830,Improper lung volume-dose parameters are risk factors for acute fatal radiation pneumonitis among esophageal cancer patients receiving chemoradiotherapy: a case-control study.,2025,,
39935765,Impact of corticosteroids on the efficacy of first-line pembrolizumab plus chemotherapy in patients with advanced non-small-cell lung cancer.,2025,,
39935553,Adaptive treatment margins to reduce organs at risk dose in patients with no or minimal anatomical changes in radiotherapy of non-small cell lung cancer.,2025,,
39935545,An Adverse Double-Hit by Pembrolizumab: A Case Report of Bullous Pemphigoid and Pneumonitis.,2025,,
39935478,Fusion protein-based COVID-19 vaccines exemplified by a chimeric vaccine based on a single fusion protein (W-PreS-O).,2025,,
39935472,Proteomics profiling of inflammatory responses to elexacaftor/tezacaftor/ivacaftor in cystic fibrosis.,2025,,
39935429,Integrative multi-omics analysis for identifying novel therapeutic targets and predicting immunotherapy efficacy in lung adenocarcinoma.,2025,,
39935352,Remodeling of the External Respiratory System in Chronic Heart Failure - a Factor of Pathogenesis and a Therapeutic Target.,2025,,
39935298,Investigation of factors related to treatment planning of x-ray SBRT and scanning carbon-ion radiation therapy for early-stage lung cancer patients.,2025,,
39935283,"Prevalence, risk factors, and outcomes of systemic sclerosis-associated interstitial lung disease in a Chinese population.",2025,,
39935082,Second Opinion Referrals of Cancer Patients in Japan-A Nationwide Study.,2025,,
39935000,Investigating osimertinib plus chemotherapy in egfr-mutated advanced non-small cell lung cancer.,2025,,
39934870,Prevalence and recurrence rates of spontaneous pneumothorax in patients with diffuse cystic lung diseases in China.,2025,,
39934840,Naringenin-loaded nanoparticles modulate HIF-driven oxygen-sensing pathways in lung adenocarcinoma cells.,2025,,
39934838,Right middle lobe torsion after right upper lobectomy despite pneumopexy in an adult: a case report and review of the literature.,2025,,
39934784,Clinicopathological diagnosis of morphea-like carcinoma en cuirasse in the neck: a rare presentation of lung cancer.,2025,,
39934754,Clinical characteristics and genetic analysis of a patient with diffuse pulmonary lymphangiomatosis: a case report and literature review.,2025,,
39934713,A clinical model to predict brain metastases in resected early-stage non-small cell lung cancer.,2025,,
39934708,Impact of radiation dose to immune cells on survival in patients with esophageal cancer receiving neoadjuvant chemoradiotherapy: a retrospective analysis.,2025,,
39934675,A hidden danger: lung abscess following inhalation of kerosene-based pyrethroid insecticide spray.,2025,,
39934547,Exploring lung cancer microenvironment: pathways and nanoparticle-based therapies.,2025,"Arandhara, Bhuyan, Das","Assam Pharmacy Institute, Titabar, Amgurikhat, Jorhat, Assam, 785632, India., School of Pharmacy, The Assam Kaziranga University, Koraikhowa, Jorhat, Assam, 785006, India., Department of Pharmacology, School of Pharmaceutical Sciences, Girijananda Chowdhury University, Azara, Guwahati, Assam, 781017, India. bhrigu.mon@gmail.com."
39934536,Effects of aqueous extract of Waltheria indica (Sterculiaceae) leafy stems on acetic acid-induced ulcerative colitis in rats.,2025,,
39934487,"Plant-based dietary patterns, genetic risk, proteome, and lung cancer risk: a large prospective cohort study.",2025,,
39934444,Brain metastases from lung cancer: recent advances and novel therapeutic opportunities.,2025,,
39934438,DYNC2H1 mutation as a potential predictive biomarker for immune checkpoint inhibitor efficacy in NSCLC and melanoma.,2025,,
39934398,Dexamethasone as an adjuvant with ropivacaine in thoracoscopy guided thoracic paravertebral block for postoperative analgesia in thoracic surgery.,2025,,
39934309,ZCCHC4 regulates esophageal cancer progression and cisplatin resistance through ROS/c-myc axis.,2025,,
39934204,"Comparing effects of breathing exercises alone and combined with breathing-stretching exercises on respiratory indices, disease severity and exercise capacity in COPD.",2025,,
39933981,CNS Outcomes of Osimertinib Plus Chemotherapy in Patients With EGFR Mutation Positive Lung Cancer Beyond Osimertinib Progression.,2025,,
39933897,"Squamous cell cancers of the aero-upper digestive tract: A unified perspective on biology, genetics, and therapy.",2025,,
39933844,Rare presentation of hypocomplementaemic urticarial vasculitis syndrome (HUVS) overlapping with systemic erythematosus lupus (SLE) and small lymphocytic lymphoma (SLL).,2025,,
39933718,Better chemotherapeutic response of small cell lung cancer in never smokers than in smokers.,2025,,
39933623,Risk-adapted stereotactic body radiation therapy for the treatment of large (>3 cm) primary lung cancer with or without histologic confirmation: A propensity score matched and weighted analysis.,2025,,
39933559,Proposal and Validation of the Minimum Clinically Important Difference in Emphysema Progression.,2025,,
39933527,Unraveling AURKB as a potential therapeutic target in pulmonary hypertension using integrated transcriptomic analysis and pre-clinical studies.,2025,,
39933496,HepatoCardioRenal Syndrome: Integrating Pathophysiology with Clinical Decision-Making via POCUS.,2025,,
39933453,Surgical repair of a vascular ring: A frequently misdiagnosed disease.,2025,,
39933391,"A computer-aided, carrier-free drug delivery system with enhanced cytotoxicity and biocompatibility: A universal model for multifunctional lung cancer therapy.",2025,"Wang, Xu, Lei, Wang","Key Laboratory of Green Natural Products and Pharmaceutical Intermediates in Colleges and Universities of Shandong Province, School of Chemistry and Chemical Engineering, Qufu Normal University, Qufu 273165, PR China; School of Pharmaceutical Sciences, Key Laboratory of Bioorganic Phosphorus, Chemistry & Chemical Biology (Ministry of Education), Tsinghua University, Beijing 100084, PR China. Electronic address: wangzl16@tsinghua.org.cn., Key Laboratory of Green Natural Products and Pharmaceutical Intermediates in Colleges and Universities of Shandong Province, School of Chemistry and Chemical Engineering, Qufu Normal University, Qufu 273165, PR China., Key Laboratory of Green Natural Products and Pharmaceutical Intermediates in Colleges and Universities of Shandong Province, School of Chemistry and Chemical Engineering, Qufu Normal University, Qufu 273165, PR China., Key Laboratory of Green Natural Products and Pharmaceutical Intermediates in Colleges and Universities of Shandong Province, School of Chemistry and Chemical Engineering, Qufu Normal University, Qufu 273165, PR China."
39933361,Oleoylethanolamide ameliorates allergic asthma and atopic dermatitis via activation of GPR119.,2025,"Lee, Im","Department of Biomedical & Pharmaceutical Sciences, Graduate School, Kyung Hee University, Seoul 02446 Republic of Korea., Department of Biomedical & Pharmaceutical Sciences, Graduate School, Kyung Hee University, Seoul 02446 Republic of Korea; Department of Fundamental Pharmaceutical Sciences, Graduate School, Kyung Hee University, Seoul 02446 Republic of Korea. Electronic address: imds@khu.ac.kr."
39933268,Exploring the therapeutic potential of Rhododendron anthopogon D.Don essential oil constituents against lung cancer: A network pharmacology-based analysis with molecular docking and experimental studies.,2025,"Mangral, Islam, Tariq, Varadharajan, Hassan Dar","Department of Biotechnology, School of Biosciences and Biotechnology, BGSB University, Rajouri, Jammu and Kashmir, India., Department of Biotechnology, School of Biosciences and Biotechnology, BGSB University, Rajouri, Jammu and Kashmir, India., Department of Biotechnology, School of Biosciences and Biotechnology, BGSB University, Rajouri, Jammu and Kashmir, India., Department of Biotechnology, PSG College of Technology, Coimbatore, India., Department of Biotechnology, School of Biosciences and Biotechnology, BGSB University, Rajouri, Jammu and Kashmir, India. Electronic address: tanvirulhasan@bgsbu.ac.in."
39933217,"EGFR testing practices, treatment choice and clinical outcomes in advanced NSCLC in a real-world setting: A retrospective analysis of a US-based electronic health records database.",2025,,
39933118,Facility-Level Disparities in Radiation Use for Limited-Stage Small Cell Lung Cancer.,2025,,
39933111,Lung Cancer and Palliative Care Support: The Role of Social Determinants of Health for Older Adult Patients.,2024,,
